Fyour,Kund,Marknad,Kunds domän,Kategori,Budget,Snitt,Kommentar,Contentriktlinjer ,Status,Ansvarig,TargetURL,Keyword,Dashboard,Korrekturkrav,
1,Acnespecialisten,SE,acnespecialisten.se,"Premium, Bulk","10,000.00 kr",,,,Canceled,,,,,,
2,Aerius Ventilation,SE,aerius.se,Premium,"10,000.00 kr",,"""Ventilation
Självdrag
FTX system
FTX ventilation
ventilation gamla hus
frånluftsfläkt tak
OVK besiktning
Ventilation uppsala
Ventilation västerås
ventilationsrengöring uppsala
ventilationsrengöring västerås""",,Canceled,,,,,,
103,4him4her,"SE, DK",https://www.4him4her.com/sv-se,Premium,"$2,000.00",,Danmark & Sverige,,Active,Matilda,"1. https://www.4him4her.com/sv-se
2. https://www.4him4her.com/da-dk
3. https://www.4him4her.com/","1. Kosttilskott
2. kosttillskud
3. brand",,FALSE,
4,Cdbilvård,SE,cdbilvard.se,Bulk,"5,000.00 kr",,,,Canceled,,,,,,
5,A Retro Tale,UK,aretrotale.com ,Premium,"10,000.00 kr",,HIgh rating on the site,,Active,,,,,FALSE,
6,Dryft,SE,dryft.se,Beställning,"16,000.00 kr",,"Specialbeställningar framöver, noggrann",,Canceled,,,,,,
7,Ekström & Garay,SE,ekstromgaray.se,Premium,"12,000.00 kr",,Pausad fram tills att fakturan är betald,,Canceled,,,,,,
8,Arctic,"SE, DE",arctic.se,Bulk,"16,000.00 kr",,(bara tyskland),,Active,,"1. https://arctic.se/se/forsakringslosningar/svensksolenergi/
2. https://arctic.se/nibe-warmepumpe-versicherung/","1. Försäkring solceller
2. wärmepumpenversicherung",,FALSE,
82,Bergets-Ro,SE,Bergetsro.se,Premium,"10,000.00 kr",,Fokus på de mindre lokala områdena som sundbyberg. Kika på deras hemsida,,Active,Matilda,,,,FALSE,
10,OptiOne,SE,optione.se,Bulk,"3,000.00 kr",,Ampillo,,Canceled,,,,,,
11,Optitech Sverige,SE,optitech-sverige.se  ,Premium,"8,000.00 kr",,Ligger efter med fakturor,,Canceled,,,,,,
12,Bethard,SE,bethard.com/sv,Premium,"70,000.00 kr",,"Fokus på /sports (kan vara specifika sporter som undersidor). Fokus på betting inte casino, viktigt att vi ger bra sajter",,Active,Sandahl,sökordsutdrag från ahrefs inom betting & sport,,,FALSE,
13,Chattanoogarehab,US,chattanoogarehab.com,Premium,"$2,750.00",,"shockwave therapy machine, shockwave machine, shockwave therapy device, Hot packs, cold packs, brand",,Active,,"1. www.chattanoogarehab.com/shock-wave-rpw
2. www.chattanoogarehab.com/us/hot-cold/hot-cold-packs
3. http://www.chattanoogarehab.com/us","1. shockwave therapy machine, shockwave machine, shockwave therapy device
2. Hot packs, cold packs
3. brand",,FALSE,
14,Seniorabatt,SE,seniorrabatt.se,Bulk,"3,000.00 kr",,liten budget,,Canceled,,,,,,
15,Cherry,SE,cherry.com/sv,Premium,"30,000.00 kr",,"Fritt val, fokus på spelklubben ett tag",,Active,Sandahl,Fritt fram,Fritt fram (fritt val),,FALSE,
110,comfydence.se,SE,comfydence.se,Premium,"10,000.00 kr",,"När det gäller det content ni skapar kan det vara viktigt att inte ta upp
Att trosorna kan användas vid inkontinens (det är juridiskt inte ok)
Alla fomuleringar som uppfattas som medicinska.
Att trosornas funktion är bättre än engångsskydd (kan vara känsligt hur man formulerar)
Däremot är det bra att skapa content både kring kategorierna menstrosor och kring badkläder / bikini för bad (där vi har relativt lite konkurrens)

","När det gäller det content ni skapar kan det vara viktigt att inte ta upp
Att trosorna kan användas vid inkontinens (det är juridiskt inte ok)
Alla fomuleringar som uppfattas som medicinska.
Att trosornas funktion är bättre än engångsskydd (kan vara känsligt hur man formulerar)
Däremot är det bra att skapa content både kring kategorierna menstrosor och kring badkläder / bikini för bad (där vi har relativt lite konkurrens",Canceled,Matilda,"1. https://comfydence.se/collections/menstrosor
2. https://comfydence.se/collections/badtrosor","1. menstrosor
2. menstrosor för bad",,TRUE,
17,Crystal Beverage Company,US,myownwater.com,Premium,"27,500.00 kr",,Aluminum bottled water,,Active,,1. https://www.myownwater.com/,1. custom bottled water,,FALSE,
93,D-Bet,SE,dbet.com,Premium,"€4,000.00",,Fokus på casino & betting - inte poker,"Får nämna betting
Får inte nämna poker
Fokus på casino",Active,,"https://www.dbet.com/mobile/
https://www.dbet.com/mobile/sports/#/overview/
https://www.dbet.com/mobile/sports/#/live","betting, sportsbetting, odds, betting och odds, betting på sport",,TRUE,
19,Discountsover60,UK,discountsover60.co.uk,Premium,"3,000.00 kr",,Låg budget,,Paused,,,,,FALSE,
20,Distansinstitutet,SE,distansinstitutet.se,Premium,"20,000.00 kr",,Lagt över budget till wellio för tillfället. Pedagogik & Distansutbildning,,Active,Sandahl,"1. distansinstitutet.se
2. distansinstitutet.se/distansutbildningar/pedagogik/","1. distansutbildning
2. barnskötare, kurator, terapeut, lärarassistent",,FALSE,
115,Epidemic Sounds,SE,https://www.epidemicsound.com/,Premium,"43,000.00 kr",,https://docs.google.com/spreadsheets/d/1IfJE7s-TKfifWEA2xVeVvdZBLZfijaifte6gzoWtLvo/edit?usp=sharing,,Active,Jacob,,,,FALSE,Latinamerikanska länkar
